date,priceUsd,circulatingSupply
2024-06-06 17:00:00,71006.2935401398366155,19708206.0000000000000000
2024-06-06 18:00:00,71075.2091625571492863,19708206.0000000000000000
2024-06-06 19:00:00,71107.9670533076804526,19708206.0000000000000000
2024-06-06 20:00:00,70537.7853005861297891,19708206.0000000000000000
2024-06-06 21:00:00,70743.0403509034634254,19708350.0000000000000000
2024-06-06 22:00:00,70769.1300717333795337,19708350.0000000000000000
2024-06-06 23:00:00,70886.5790645718931388,19708425.0000000000000000
2024-06-07 00:00:00,70822.1674724000490243,19708425.0000000000000000
2024-06-07 01:00:00,70891.0648608544069845,19708425.0000000000000000
2024-06-07 02:00:00,70860.9464613429101150,19708425.0000000000000000
2024-06-07 03:00:00,70839.7542860787681164,19708475.0000000000000000
2024-06-07 04:00:00,71002.8802050023098009,19708475.0000000000000000
2024-06-07 05:00:00,71248.0581206294042743,19708575.0000000000000000
2024-06-07 06:00:00,71332.1416875331944199,19708575.0000000000000000
2024-06-07 07:00:00,71269.6018319101277491,19708575.0000000000000000
2024-06-07 08:00:00,71120.9738824079076536,19708575.0000000000000000
2024-06-07 09:00:00,71116.3422682028266450,19708784.0000000000000000
2024-06-07 10:00:00,71251.2496566361723681,19708784.0000000000000000
2024-06-07 11:00:00,71365.9989875456020946,19708784.0000000000000000
2024-06-07 12:00:00,71643.7278762087471234,19708871.0000000000000000
2024-06-07 13:00:00,71198.6852580725962083,19708871.0000000000000000
2024-06-07 14:00:00,71497.0949409274333425,19708871.0000000000000000
2024-06-07 15:00:00,71407.5800707835855625,19708871.0000000000000000
2024-06-07 16:00:00,71072.6848488485094789,19709025.0000000000000000
2024-06-07 17:00:00,70822.9674128028310691,19709025.0000000000000000
2024-06-07 18:00:00,69957.1405734271068373,19709100.0000000000000000
2024-06-07 19:00:00,69170.0358862397057690,19709100.0000000000000000
2024-06-07 20:00:00,69344.7241262529179564,19709100.0000000000000000
2024-06-07 21:00:00,69265.9156590834904784,19709100.0000000000000000
2024-06-07 22:00:00,69312.4006357834501428,19709143.0000000000000000
2024-06-07 23:00:00,69541.4842453435253235,19709143.0000000000000000
2024-06-08 00:00:00,69413.5470403855881211,19709196.0000000000000000
